这里用于显示客户LOGO，二期开发，用户账号管理也可以上传公司LOGO图片,,,,,,PURCHASE ORDER,,,,,,,,
Buyer,,,这里对应填买方公司地址抬头电话,,,Purchase Order Number:  ,系统自动生成的订单号,,,,,,,
公司名字,,,,,,Date:,下单时间,,,,,,,
地址,,,,,,Payment Method:,付款方式,,,,,,,
,,,,,,Page:,1 of 1,,,,,,,
,,,,,,,,,,,,,,
Vendor,,,这里对应填美国公司或者其他公司地址抬头,,,Ship  to ,这里对应填收货地址， 联系人， 电话， 发货特殊要求,,,,,,,
"BJT Pack, Inc.",,,,,,公司名字,,,,,,,,
"5275 Naiman Parkway, Suite B, ",,,,,,地址,,,,,,,,
"Solon, Ohio 44139",,,,,,联系人/电话,,,,,,,,
,,,,,,备注,,,,,,,,
,,,,,,,,,,,,,,
"Part No. #
（商城中的料号属性）","Item
（商城中的名称属性）","Model
（商城中的型号属性，耗材是分公英制）","Item  description
（商城中的Spec.属性，分公英制）","Brand Name
（商城中的品牌属性）","Quantity
(pcs)",Unit Price ,Amount ,,,,,,,
60E01009,Gummed Tape Dispenser,, EG100 220V,,5,$100.00,$500.00,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Remarks:,,,,,,Total,500.00,,,,,,,
,,,,,,Freight charge,100.00 ,,,,,,,
,,,,,,Total amount,600.00 ,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
