气垫系统,bug描述,bug图片,人员,日期,预期正确的值,是否已完成,开发情况说明
气垫机与配件,productid 字段缺失,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,中文版无购物车，英文版有,,谭文佳 Tan Wenjia,2025年6月14日,,□,
气垫膜选项,中英文参杂,,谭文佳 Tan Wenjia,2025年6月14日,,□,
气垫膜选项,中英文,,谭文佳 Tan Wenjia,2025年6月14日,,□,
气垫膜选项,没有添加购物车成功的提示,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,缺少unit,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,规格描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,字段多余（中英文都删除）,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,气泡字段缺失：膜宽、袋长、,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,适用机型英文错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,规格字段描述修改,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,spec.字段描述修改,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,字段描述和单位错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫机与配件,无包装尺寸字段,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫机与配件,lbs改成lb,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫膜选项,所有涉及lbs的单位都改成lb,,谭文佳 Tan Wenjia,2025年6月17日,,□,
气垫机与配件,,,,,,□,
备件,英文显示错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,英文字段描述错误,,谭文佳 Tan Wenjia,2025年6月17日,,□,
备件,,,,,,□,
